8	7	1	6	6	4	9	8	2	6	6	6	7	1	2	7	7	5	7	8
7	4	2	4	4	7	3	5	3	4	6	6	9	8	8	8	2	8	2	4
7	1	9	8	8	8	2	8	6	8	1	2	5	6	9	4	5	4	7	6
8	6	3	9	1	7	2	8	9	4	2	9	6	8	7	1	1	1	4	1
8	9	2	8	4	9	5	4	6	2	8	4	2	6	6	3	S	7	5	4
9	8	7	1	7	9	3	8	1	8	3	2	2	7	8	2	7	6	1	6
8	4	2	8	1	8	8	6	4	8	6	2	2	9	4	6	9	7	5	7
2	8	6	4	9	8	1	3	3	3	5	1	7	3	3	6	6	9	5	6
2	1	2	8	6	8	8	7	6	5	4	9	1	3	6	3	2	5	5	7
2	9	3	4	5	8	4	2	8	2	3	3	8	3	1	1	2	3	4	3
5	7	7	3	3	9	4	5	9	8	4	1	7	8	5	8	6	8	3	5
7	9	2	1	6	9	2	8	7	6	8	4	4	2	5	8	3	8	4	7
8	G	6	6	8	8	1	8	9	3	3	5	7	3	3	9	3	9	7	6
2	3	4	1	3	6	3	1	5	3	9	4	4	5	7	7	2	3	5	5
5	3	5	8	5	8	5	7	6	9	1	3	3	1	7	6	7	6	5	6
4	1	2	3	7	7	2	4	7	8	6	4	3	8	9	3	1	5	2	6
5	6	4	5	6	9	5	4	2	3	1	2	3	4	6	4	6	6	6	4
4	5	1	2	5	4	7	7	6	3	5	3	4	2	9	1	1	8	2	5
9	1	7	4	9	4	2	6	5	6	6	7	1	8	8	6	4	3	6	2
3	6	1	7	2	5	2	6	5	6	7	5	3	9	6	6	8	9	6	3
